nazev,url
eu-login,https://webgate.ec.europa.eu/cas/login
participant-register,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/participant-register
ft-portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/calls-for-proposals
eic-accelerator,https://eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator_en
eic-topic,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eic-2026-accelerator-01
tacr,https://tacr.gov.cz/program/program-prodef/
nbu,https://nbu.gov.cz/cs/roz-potrebuji-vyridit/pravnicka-osoba-prumyslova-bezpecnost
urosksoj,https://urosksoj.mo.gov.cz/
mpo,https://www.mpo.gov.cz/
nspa,https://www.nspa.nato.int/
