program,nazev_cs,nazev_en,otevreni_od,uzaverka,stav_rucne_cs,stav_rucne_en,odkaz,pozn_cs,pozn_en
edf,"EDF – výzvy 2026 (cca 1 mld. €, 10 výzev / 31 témat)","EDF – 2026 calls (~€1bn, 10 calls / 31 topics)",,2026-09-29,,,https://defence-industry-space.ec.europa.eu,"Konsorcia min. 3 subjektů ze 3 zemí; národní kofinancování přes TAČR PRODEF PP1.","Consortia of min. 3 entities from 3 countries; Czech co-financing via TAČR PRODEF PP1."
eudis,"EUDIS Open Call – do 6 mil. € vývoj / 4 mil. € výzkum","EUDIS Open Call – up to €6m development / €4m research",,2026-09-29,,,https://eudis.europa.eu,"Konsorcium 3 firem ze 3 států, od TRL 4.","Consortium of 3 companies from 3 states, from TRL 4."
eic-step-defence,"EIC STEP Scale Up Defence – equity 10–30 mil. €","EIC STEP Scale Up Defence – equity €10–30m",2026-06-30,2026-10-28,,,https://eic.ec.europa.eu,"Jen equity, bez grantu; vyžaduje pre-commitment investora. Výsledky začátkem 2027.","Equity only, no grant; requires investor pre-commitment. Results early 2027."
eic-accelerator,"EIC Accelerator (dual-use) – průběžné podávání","EIC Accelerator (dual-use) – rolling submission",,,"krátkou žádost lze podat kdykoli","short application can be submitted any time",https://eic.ec.europa.eu,"Od 17. 6. 2026 otevřen obranným a dual-use technologiím.","Open to defence and dual-use technologies since 17 June 2026."
eudis,"EUDIS Accelerator – kvartální výzvy","EUDIS Accelerator – quarterly calls",,,"běží, výzvy každý kvartál","running, calls every quarter",https://eudis.europa.eu,"6měsíční akcelerátor: business coaching, matchmaking s primes, Test in Ukraine.","6-month accelerator: business coaching, matchmaking with primes, Test in Ukraine."
edip,"EDIP – výzvy pracovního programu 2026–27 (1,5 mld. €)","EDIP – 2026–27 work programme calls (€1.5bn)",2026-03-31,,"výzvy otevřené na portálu Funding & Tenders","calls open on the Funding & Tenders portal",https://defence-industry-space.ec.europa.eu,"Uzávěrky jednotlivých výzev [OVĚŘIT na portálu].","Individual call deadlines [VERIFY on the portal]."
horizon-cl3,"Horizont Evropa Klastr 3 – výzvy 2026 (131 mil. €)","Horizon Europe Cluster 3 – 2026 calls (€131m)",2026-05-06,,"výzvy spuštěny 6. 5. 2026","calls launched 6 May 2026",https://ec.europa.eu/info/funding-tenders/opportunities/portal/,"Uzávěrky jednotlivých témat [OVĚŘIT na portálu].","Topic deadlines [VERIFY on the portal]."
diana,"DIANA – výzva pro kohortu 2027","DIANA – call for the 2027 cohort",,,"probíhá vyhodnocení (výzva proběhla v červnu 2026)","under evaluation (call ran in June 2026)",https://www.diana.nato.int,"Výsledky vyhodnocení oznámí DIANA; sledujeme.","DIANA will announce the evaluation results; we are tracking it."
diana,"DIANA – další výzva (spuštění červen 2027)","DIANA – next call (opening June 2027)",2027-06-01,,,,https://www.diana.nato.int,"Přesný den spuštění a uzávěrku doplníme po vyhlášení.","Exact opening date and deadline will be added once announced."
prodef,"TAČR PRODEF PP1 – kofinancování EDF (výzva plánovaná 10/2026)","TAČR PRODEF PP1 – EDF co-financing (call planned 10/2026)",2026-10-01,,,,https://tacr.gov.cz/program/program-prodef/,"Termín orientační [OVĚŘIT na tacr.gov.cz].","Indicative date [VERIFY at tacr.gov.cz]."
