url,program,stitek_cs,stitek_en
https://www.diana.nato.int/accelerator-programme.html,diana,web DIANA,DIANA website
https://eudis.europa.eu/index_en,eudis,web EUDIS,EUDIS website
https://eudis.europa.eu/eudis-tracks/sme-calls_en,eudis,web EUDIS – SME výzvy,EUDIS website – SME calls
https://eu.brave1.tech/,edip,web BraveTech EU,BraveTech EU website
https://defence-industry-space.ec.europa.eu/eu-defence-industry/european-defence-fund-edf-official-webpage-european-commission_en,edf,web EDF (Komise),EDF website (Commission)
https://defence-industry-space.ec.europa.eu/eu-defence-industry/edip-forging-europes-defence_en,edip,web EDIP (Komise),EDIP website (Commission)
https://eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator_en,eic-accelerator,web EIC Accelerator,EIC Accelerator website
https://eic.ec.europa.eu/eic-funding-opportunities/eic-pathfinder_en,eic-pathfinder,web EIC Pathfinder,EIC Pathfinder website
https://tacr.gov.cz/program/program-prodef/,prodef,web TAČR PRODEF,TAČR PRODEF website
https://optak.gov.cz/,optak-deeptech,web OP TAK,OP TAK website
https://www.nif.fund/,nif,web NIF,NIF website
https://brave1.gov.ua/en/international-projects,eudis,web Brave1 International,Brave1 International website
